function,proof_dir,log_path,run_id,session_path,success,exit_code,duration_sec,compile_success,preflight_error,coverage_path,coverage_overall_percentage,coverage_overall_reachable,coverage_non_harness_percentage,coverage_non_harness_reachable,verification_result_path,verification_error_count,tokens_input,tokens_cached,tokens_output,tokens_reasoning,tokens_total,cost_input,cost_cached,cost_output,cost_reasoning,cost_total
bt_buf_get_tx,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/bt_buf_get_tx,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/logs/codex_bt_buf_get_tx.log,c31a07ece29a41a886c07c1ce284b40f,/home/dananday/.codex/sessions/2026/02/03/rollout-2026-02-03T18-05-47-019c25c1-4007-7253-a3ff-27c6062769f6.jsonl,True,0,477.3118381500244,True,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/bt_buf_get_tx/build/report/json/viewer-coverage.json,0.9157894736842105,,0.8108108108108109,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/bt_buf_get_tx/build/report/json/viewer-result.json,0,102790,2700032,18354,10112,2831288,0.1798825,0.4725056,0.25695599999999996,,0.9093441
gatt_find_info_rsp,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/gatt_find_info_rsp,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/logs/codex_gatt_find_info_rsp.log,4bdad0004bd147108bd50881ea80d0c5,/home/dananday/.codex/sessions/2026/02/03/rollout-2026-02-03T18-05-47-019c25c1-400d-7f43-8e65-0c31e51c8f08.jsonl,True,0,1898.5514776706696,False,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/gatt_find_info_rsp/build/report/json/viewer-coverage.json,,,,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/gatt_find_info_rsp/build/report/json/viewer-result.json,,113806,6272768,44709,23680,6454963,0.19916050000000002,1.0977344,0.625926,,1.9228209
eswifi_mgmt_iface_status,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/eswifi_mgmt_iface_status,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/logs/codex_eswifi_mgmt_iface_status.log,6f2cd1977a7d456ab2f332392c4dd17b,/home/dananday/.codex/sessions/2026/02/03/rollout-2026-02-03T18-05-47-019c25c1-3ff1-7760-a2f3-0f241b70ebe4.jsonl,True,0,4240.421883821487,True,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/eswifi_mgmt_iface_status/build/report/json/viewer-coverage.json,1.0,,0.9620253164556962,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_2/eswifi_mgmt_iface_status/build/report/json/viewer-result.json,0,546502,18771200,70096,35008,19422806,0.9563785,3.28496,0.9813440000000001,,5.2226824999999995
usb_dc_ep_write,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_3/usb_dc_ep_write,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_3/logs/codex_usb_dc_ep_write.log,eec464357b13407497eee33e6b757ce4,/home/dananday/.codex/sessions/2026/02/03/rollout-2026-02-03T22-09-34-019c26a0-6e89-7090-bd6a-44153d89c79b.jsonl,True,0,2032.9367377758026,True,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_3/usb_dc_ep_write/build/report/json/viewer-coverage.json,0.9375,,0.8378378378378378,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_3/usb_dc_ep_write/build/report/json/viewer-result.json,0,307398,9216128,48513,23552,9595591,0.5379465,1.6128223999999998,0.679182,,2.8299508999999996
cmd_write,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_4/cmd_write,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_4/logs/codex_cmd_write.log,88a1acba850c4522abb830518be9609e,/home/dananday/.codex/sessions/2026/02/04/rollout-2026-02-04T10-10-10-019c2934-2b8f-74e3-a7f9-f8e18bdd9f05.jsonl,True,0,475.1042048931122,True,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_4/cmd_write/build/report/json/viewer-coverage.json,0.9852941176470589,,0.9705882352941176,,/home/dananday/Research/zephyr/cbmc/CodexUP_Zephyr_Sample_4/cmd_write/build/report/json/viewer-result.json,1,61817,1175680,14841,8576,1260914,0.10817974999999999,0.205744,0.20777400000000001,,0.5216977500000001
